1203,AFTERTHOUGHT ON A TV ShowJ,OSE MARI CHAN,,
1308,Banal Na Aso Santong Kabayo,Yano,,
1310,Muntik Ng Maabot Ang Langit,True Faith,,q
1313,Sana Dalawa Ang Puso Ko,Bodjie's Law Of Gravity,,
1317,Amazing,Aerosmith,,
1336,Hindi Magbabago,Randy Santiago,,
1337,SINCE I DON'T HAVE YOU,GUN 'N ROSES,,
1340,Dreamin',Cliff Richard,,
1348,Fixing A Broken Heart,Indecent Obsession,,
1352,A Groovy Kind Of Love,Phil Collins,,
1365,Sometimes Love Just Ain't Enough,Patty Smith,,
1419,Was I Dreamin',The Cascades,,
1452,Deep In My Soul,Acosta & Russell,,
1471,Banal Na Aso Santong Kabayo,Yano,,
1474,About A Girl,Nirvana,,
1484,EYE IN THE SKY,ALAN PARSONS PROJECT,,
1485,My Fair Share,Seals & Crofts,,
1488,HABANG MAY BUHAY,A+P592+C613:J+C613:M613,,
1493,If Looks Could Kill,Heart,,
1503,Love Is All Around,Wet Wet Wet,,
1506,The Moment Of Truth,Survivor,,
1507,MULTO SA PANINGIN,The Youth,,
1514,NO RAIN,BLIND MELON,,
1516,NOTHIN' AT ALL,HEART,,
1528,Time,Alan Parsons Project,,
1534,Huwag Na Lang Kaya,True Faith,,
1535,What About Love,Heart,,
1539,Devoted To You,Everly Brothers,,
1543,Forever,Rex Smith,,
1544,AIN'T THAT A SHAME,FATS DOMINO,,
1546,Baby I Don't Care,Elvis Presley,,
1547,BARBARA ANN,BEACH BOYS,,
1551,BLUEBERRY HILL,FATS DOMINO,,
1552,Blue Suede Shoes,Elvis Presley,,
1566,HARD HEADED WOMAN,ELVIS PRESLEY,,
1571,KISS ME QUICK,ELVIS PRESLEY,,
1574,All Apologies,Nirvana,,
1577,Don't Fade Away,Acosta & Russel,,
1579,IF I SING YOU LOVE SONG,BONNIE TYLER,,
1587,I LOVE ROCK 'N..,JOAN JETT,,
1596,Muntik Nang Maabot Ang Langit,True Faith,,
1599,NEXT DOOR TO ANGEL,NEIL SEDAKA,,
1609,All Shook Up,Elvis Presley,,
1628,Constantly,Cliff Richard,,
1647,Always Something There To Remind Me,Naked Eyes,,
1663,Where Are You Now,Jimmy Harnen,,
1669,WAIT TILL YOU SEE,NEIL SEDAKA,,
1672,HEAVENLY ANGEL,MENUDO,,
1673,HOLD ME,MENUDO,,
1676,Happy Birthday Sweet Sixteen,Paul Anka,,
1682,To Be With You,Mr. Big,,
1683,TOO MUCH,ELVIS PRESLEY,,
1684,RETURN TO SENDER,ELVIS PRESLEY,,
1685,All I Wanna Do,Sheryl Crow,,
1689,BAD,MICHAEL JACKSON,,
1694,CRAZY IN LOVE,KIM CARNES,,
1700,I Can't Be With You,The Cranberries,,
1715,HIP TO BE SQUARE,HUEY LEWIS,,
1723,Almost Paradise,Mike Reno ft. Ann Wilson,,
1750,Gold,Spandau Ballet,,
1761,BATIBOT,ALAMID,,
1765,All I Want Is Everything,Def Leppard,,
1766,3 A.M.,Matchbox 20,,
1771,Mmmm Sarap,Kamikazee,,
1846,Anytime,Kelly Clarkson,,
2139,TODO A PULMON,MIGUEL RIOS,,
2360,ME CUESTA TANTO OLVIDARTE,MECANO,,
2534,AND I LOVE HER,BEATLES,,
2538,As tears go by,Rolling Stones,,
2545,Bye Bye Love,Everly Brothers,,
2555,Don't Let Me Be Misunderstood,Shocking Blue,,
2575,Have you Ever Seen The Rain,CCR,,
2580,house of The Rising Sun,Animals,,
2581,Hotel California,Eagles,,
2587,Imagine,John Lennon,,
2590,Just When I Needed You Most,Randy Vanwarmer,,
2607,Midnight Blue,E.L.O.,,
2611,Only You,Platters,,
2615,Reality,Richard Sanderson,,
2617,Rain and Tears,Aphrodite's Child,,
2629,Stand By Me,John Lennon,,
2652,BECAUSE I LOVE YOU,SHAKIN' STEVENS,,
2654,HOW CAN I TELL HER,LOBO,,
2658,GIRL YOU ARE MY LOVE,Pink Boys,q,
2659,Black Is Black,Joy,,
2660,WITHOUT YOU,Harry Nilsson,,
2664,Within You'll Remain,Tokyo Square,,
2691,LET'S TWIST AGAIN,CHUBBY CHECKER,,
2693,BOULEVARD,DAN BYRD,,
2701,Because,The Dave Clark Five,,
2702,Crying In The Rain,Everly Brothers,,
2717,Jambalaya,Carpenters,,
2719,Sorry Seems To Be The Hardest Word,Elton John,,
2720,HEART OF GOLD,NEIL YOUNG,,
2731,Moonlight Lady,David Bowie,,
2752,Sweet Caroline,Neil Diamond,,
2753,Come Together,Beatles,,
2756,EVERY TIME YOU GO AWAY,PAUL YOUNG,,
2757,Livin' On A Prayer,Bon Jovi,,
2770,Lipstick On Your Collar,Connie Francis,,
2780,Soldier Of Fortune,Deep Purple,,
2784,The One You Love,Glenn Frey,,
2789,Don't Let The Sun Go Down On Me,ELTON JOHN,,
2790,Beat It,Michael Jackson,,
2791,ISLAND GIRL,ELTON JOHN & BERNIE TAUPIN,,
2792,Suspicious Mind,Elvis Presley,,
2824,I Just Died In Your Arms Tonight,Cutting Crew,,
2826,Unchain My Heart,Joe Cocker,,
2831,I HATE MYSELF FOR LOVING YOU,JOAN JETT,,
2843,CROCODILE ROCK,ELTON JOHN & BERNIE TAUPIN,,
2844,GOODBYE YELLOW BRICK ROAD,Elton John,,
2856,BLUEBIRD,PAUL McCARTNEY,,
2863,I PUT A SPELL ON YOU,CCR,,
2865,Long Cool Woman,The Hollies,,
2866,My Love,Paul McCartney,,
2870,Telephone Line,ELO,,
2871,Rhiannon,Steve Nicks,,
2874,You Give Love A Bad Name,Bon Jovi,,
2876,All I Ever Need Is You,Sonny And Cher,,
2884,The Air that I Breath,The Hollies,,
2888,Cry Me A River,Joe Cocker,,q
2889,All Right Now,Free,,
2890,When I Was Young,The Animals,,
2893,Runaway,Del Shannon,,
2894,Dizzy,Tommy Roe,,
2896,SOMETHING 'BOUT YOU..,RICHARD SUPA,,
2897,CANDLE IN THE WIND,ELTON JOHN,,
2898,Sexy Eyes,Dr. Hook,,
2906,OBLADI OBLADA,BEATLES,,
2907,LOVE POTION No.9,THE SEARCHERS,,
2911,Easy Lover,Phil Collins,,
2912,Limbo Rock,Chubby Checker,,
2921,I've Got The Music In Me,KKI DEE BAND,,
2934,We Belong Together,Pat Benatar,,
2935,Steamy Windows,Tina Turner,,
2940,Laughter In The Rain,Neil Sedaka,,
2942,I Love How You Love Me,Paris Sisters,,
2945,A Hard Days Night,Beatles,,
2950,In My Life,Beatles,,
2964,Help,Beatles,,
2973,Blue Monday,Fats Domino,,
2986,Hot Girls In Love,Loverboy,,
2989,Alive And Kicking,Simple Minds,,
2992,Working For The Weekend,Lover Boy,,
3013,There's A Kind Of Hush,Herman's Hermit,,
3033,A Big Hunk O' Love,Elvis Presley,,
3046,All Shook Up,Elvis Presly,,
3052,Angel Of Harlem,U2,,
3058,BAD MOON RISING,J.C FOGETTY,,
3060,Bakit Ba?,Siakol,,
3083,Cocaine,Eric Clapton,,
3092,DANCE ON LITTLE GIRL,PAUL ANKA,,
3093,"DANCE, DANCE, DANCE",Brian Wilson / Carl Wilson,,
3094,Desire,U2,,
3099,DON'T,ELVIS PRESLEY,,
3101,DON'T BE CRUEL,Elvis Presley,,
3103,Don't Speak,No Doubt,,
3106,Enter Sandman,Metallica,,
3114,Eveytime You Go Away,Paul Young,,
3119,Final Countdown,Europe,,
3122,Fortess ArounD Your Heart,Sting,,
3126,Fun Fun Fun,Beach Boys,,
3134,GOOD LUCK CHARM,ELVIS PRESLEY,,
3140,Hard Headed Woman,Elvis Presley,,
3143,HELP ME RHONDA,BEACH BOYS,,
3147,Hound Dog,Elvis Presley,,
3155,I Get Around,Beach Boys,,
3158,I Kept On Loving You,R. Carpenter,,
3173,Im Still Standing,Elton John,,
3183,Jailhouse Rock,Elvis Presley,,
3211,Miss You LIke Crazy,The Moffats,,
3216,Mother Freedom,David Gates,,
3220,New Years Day,U2,,
3224,One of Us,Joan Orborne,,
3226,Oras Na,Coritha,,q
3232,Perfect,True Faith,,
3235,PRESENCE OF THE LORD,ERIC CLAPTON,,
3236,Pretty Woman,Roy Orbison,,
3248,SILVERTOES,PAROKYA NI EDGAR,,
3265,Tag-araw,After Image,,
3271,The Soul Cages,Sting,,
3281,Torn,Natalie Imbruglia,,
3282,Travelin' Band,CCR,,
3286,UP AROUND THE BEND,J.C. Fogerty,,
3289,We Are The Champions,Queen,,
3290,What Matters Most,Kenny Rankin,,
3291,Where The Streets Have No Name,U2,,
3293,With Or Without You,U2,,
3300,Breakfast In America,SuperTramp,,
3302,It's Raining Again,Supertramp,,
3304,Give A Little Bit,Supertramp,,
3305,Take the Long Way Home,Supertramp,,
3306,School,Supertramp,,
3308,86,Green Day,,
3315,Song Title,Rolling Stones,,
3318,Living In America,Neil Diamond,,
3322,Any Dream Will Do,Boston,,
3327,Babushka,Kate Bush,,
3329,Baby Come Back,Player,,
3330,Bad Love,Eric Clapton,,
3332,Get it On,Marc Bolan,,
3335,SULTANS OF SWINGS,DIRE STRAITS,,
3336,Beautiful Goodbye,Amanda Marshall,,
3342,Big Yellow Taxi,Joni Mitchell,,q
3343,Another One Bites The Dust,Queen,,
3347,Black Velvet,ALLANAH MYLES,,
3365,Can't Stand Losing You,Police,,
3368,Carry On,Sailor Moon Theme,,
3370,Cats In The Cradle,Ugly Kid Joe,,
3374,Champagne Supernova,Oasis,,
3381,China Grove,Doobie Brothers,,
3382,I Think I'm A Clone Now,Wierd Al,,
3388,Crazy Little Thing Called Love,Queen,,
